sensor;latitude;longitude
716028;34.055153000000004;-118.218052
716036;34.03383;-118.38571999999999
716047;34.034419;-118.345118
716050;34.034645000000005;-118.340217
716057;34.037009000000005;-118.31346
716067;34.054832;-118.211928
716069;34.053734000000006;-118.208184
716072;34.05403;-118.203643
716075;34.055302000000005;-118.19247800000001
716078;34.055622;-118.184174
716081;34.059816;-118.174805
716085;34.061859000000005;-118.16258400000001
716087;34.064648;-118.15786899999999
716092;34.071236999999996;-118.142242
716126;34.072115999999994;-118.05214199999999
716152;34.072117999999996;-117.916556
716181;34.066551000000004;-117.80330500000001
716187;34.071509000000006;-117.76838500000001
717008;34.030503;-118.410797
717009;34.029703999999995;-118.40473100000001
717011;34.031434999999995;-118.38978700000001
717014;34.036918;-118.377978
717016;34.036273;-118.37466599999999
717020;34.035623;-118.37158400000001
717022;34.034475;-118.36626399999999
717028;34.034224;-118.349274
717032;34.035098;-118.331387
717035;34.036328999999995;-118.31969199999999
717039;34.037033;-118.30775700000001
717042;34.036928;-118.29631100000002
717046;34.036829;-118.28645800000001
717059;34.05533;-118.198022
717070;34.061262;-118.16717
717075;34.071317;-118.13358400000001
717077;34.071288;-118.13598999999999
717083;34.071469;-118.122073
717084;34.071566;-118.11663700000001
717089;34.071453000000005;-118.12398600000002
717093;34.071643;-118.10958899999999
717097;34.071674;-118.106049
717105;34.071746000000005;-118.100819
717110;34.07177;-118.098446
717114;34.071859;-118.09186799999999
717123;34.07195;-118.082659
717127;34.072089;-118.074601
717131;34.072103999999996;-118.071873
717133;34.072133;-118.067779
717136;34.072238;-118.058523
717146;34.068463;-118.04041699999999
717152;34.067931;-118.02787
717155;34.067012;-118.019718
717156;34.064403000000006;-118.011595
717165;34.067593;-117.980655
717174;34.070182;-117.96072
717179;34.071946999999994;-117.943655
717185;34.072243;-117.928178
717190;34.072201;-117.924531
717195;34.072071;-117.908767
717198;34.072041999999996;-117.905548
717205;34.071856;-117.88840400000001
717214;34.071698;-117.87371399999999
717219;34.070753;-117.865775
717229;34.067566;-117.835528
717230;34.065883;-117.830909
717232;34.063656;-117.822445
717236;34.063642;-117.816375
717241;34.072783;-117.78553600000001
717243;34.072783;-117.780247
717247;34.070795000000004;-117.76146200000001
717251;34.075158;-117.748791
717254;34.078924;-117.739628
717257;34.081521;-117.728559
717260;34.081715;-117.71678500000002
718118;34.071756;-117.879952
718119;34.069342;-117.862978
718335;34.036825;-118.29038500000001
718410;34.031447;-118.43178200000001
718412;34.031675;-118.42203300000001
718415;34.03378;-118.36225
718419;34.037103;-118.27118
718421;34.029655;-118.256295
718445;34.071889;-118.08945200000001
737158;34.026792;-118.233791
737184;34.036941;-118.298907
737229;34.019044;-118.479789
737237;34.023269;-118.47351599999999
737246;34.024727;-118.46800900000001
737257;34.026829;-118.45975700000001
737278;34.028408;-118.4483
737313;34.028161;-118.229395
737320;34.053447;-118.22243600000002
737344;34.061359;-118.170781
759163;34.011345;-118.494744
759257;34.016144;-118.483651
759280;34.037843;-118.27278899999999
759385;34.037139;-118.282018
763336;34.031701;-118.416246
763346;34.036806;-118.31609099999999
763453;34.031913;-118.26241
763458;34.025841;-118.24928899999999
763479;34.068307;-117.838029
763646;34.012963;-118.488781
763695;34.0723;-117.935268
763963;34.034076;-118.352061
764026;34.037687;-118.28058500000002
764054;34.030502;-118.43848
764125;34.031591;-118.430302
764130;34.031634000000004;-118.42976100000001
764211;34.068126;-117.84691200000002
764217;34.071945;-117.898582
764222;34.071126;-117.951449
764249;34.033955999999996;-118.35559199999999
765098;34.058352;-118.178148
