day	hour	value
1	0	35.5
1	1	35.7
1	2	35.9
1	3	36.4
1	4	36.3
1	5	37.2
1	6	47.5
1	7	65.8
1	8	67.3
1	9	62.2
1	10	46.0
1	11	40.6
1	12	40.0
1	13	39.9
1	14	39.6
1	15	39.1
1	16	38.1
1	17	40.4
1	18	42.8
1	19	38.9
1	20	36.0
1	21	35.9
1	22	35.7
1	23	35.5
2	0	35.5
2	1	35.7
2	2	35.9
2	3	36.3
2	4	36.4
2	5	37.3
2	6	49.5
2	7	73.8
2	8	77.2
2	9	72.1
2	10	55.1
2	11	44.1
2	12	43.4
2	13	42.0
2	14	42.0
2	15	40.0
2	16	38.4
2	17	41.3
2	18	45.2
2	19	40.2
2	20	36.0
2	21	35.9
2	22	35.8
2	23	35.5
3	0	35.4
3	1	35.7
3	2	35.9
3	3	36.4
3	4	36.4
3	5	37.4
3	6	49.5
3	7	69.5
3	8	74.2
3	9	73.4
3	10	56.1
3	11	46.5
3	12	44.3
3	13	42.0
3	14	41.7
3	15	40.6
3	16	39.3
3	17	42.2
3	18	45.0
3	19	40.1
3	20	36.1
3	21	35.9
3	22	35.8
3	23	35.6
4	0	35.5
4	1	35.7
4	2	36.0
4	3	36.4
4	4	36.4
4	5	37.4
4	6	51.7
4	7	70.7
4	8	73.7
4	9	69.6
4	10	52.5
4	11	45.1
4	12	44.1
4	13	43.2
4	14	43.6
4	15	42.5
4	16	40.5
4	17	43.5
4	18	45.4
4	19	41.1
4	20	36.6
4	21	36.0
4	22	36.0
4	23	35.7
5	0	35.5
5	1	35.7
5	2	35.9
5	3	36.5
5	4	36.5
5	5	37.3
5	6	46.8
5	7	60.7
5	8	61.6
5	9	55.6
5	10	49.3
5	11	45.1
5	12	44.7
5	13	43.0
5	14	44.2
5	15	44.2
5	16	40.2
5	17	40.9
5	18	40.1
5	19	38.0
5	20	36.6
5	21	36.2
5	22	36.0
5	23	35.8
6	0	35.4
6	1	35.5
6	2	35.4
6	3	35.8
6	4	36.1
6	5	36.1
6	6	35.9
6	7	36.3
6	8	37.0
6	9	38.0
6	10	40.5
6	11	43.0
6	12	44.3
6	13	46.1
6	14	46.8
6	15	47.6
6	16	44.9
6	17	40.9
6	18	39.2
6	19	38.0
6	20	36.9
6	21	36.4
6	22	36.4
6	23	36.0
7	0	35.6
7	1	35.5
7	2	35.4
7	3	35.5
7	4	35.7
7	5	35.5
7	6	35.4
7	7	35.4
7	8	35.5
7	9	35.8
7	10	37.4
7	11	40.8
7	12	43.3
7	13	46.0
7	14	47.8
7	15	47.6
7	16	44.2
7	17	40.0
7	18	37.5
7	19	36.4
7	20	36.2
7	21	36.1
7	22	35.8
7	23	35.5
