day	hour	value
1	0	38
1	1	38
1	2	38
1	3	38
1	4	39
1	5	39
1	6	39
1	7	47
1	8	60
1	9	49
1	10	42
1	11	40
1	12	42
1	13	46
1	14	57
1	15	70
1	16	78
1	17	75
1	18	70
1	19	54
1	20	41
1	21	39
1	22	39
1	23	38
2	0	38
2	1	38
2	2	38
2	3	39
2	4	39
2	5	39
2	6	39
2	7	53
2	8	70
2	9	55
2	10	43
2	11	42
2	12	43
2	13	50
2	14	67
2	15	83
2	16	98
2	17	97
2	18	91
2	19	70
2	20	50
2	21	40
2	22	38
2	23	38
3	0	38
3	1	38
3	2	38
3	3	39
3	4	39
3	5	39
3	6	39
3	7	52
3	8	66
3	9	55
3	10	44
3	11	42
3	12	45
3	13	54
3	14	72
3	15	88
3	16	101
3	17	104
3	18	100
3	19	74
3	20	53
3	21	41
3	22	39
3	23	38
4	0	38
4	1	38
4	2	39
4	3	39
4	4	39
4	5	39
4	6	39
4	7	50
4	8	64
4	9	54
4	10	43
4	11	42
4	12	45
4	13	57
4	14	77
4	15	92
4	16	99
4	17	101
4	18	96
4	19	74
4	20	57
4	21	43
4	22	41
4	23	38
5	0	38
5	1	38
5	2	38
5	3	39
5	4	39
5	5	39
5	6	39
5	7	44
5	8	52
5	9	47
5	10	43
5	11	45
5	12	53
5	13	66
5	14	79
5	15	89
5	16	92
5	17	88
5	18	81
5	19	66
5	20	51
5	21	42
5	22	40
5	23	39
6	0	38
6	1	38
6	2	38
6	3	38
6	4	39
6	5	39
6	6	38
6	7	38
6	8	38
6	9	39
6	10	41
6	11	44
6	12	48
6	13	50
6	14	51
6	15	54
6	16	58
6	17	60
6	18	58
6	19	51
6	20	44
6	21	42
6	22	42
6	23	40
7	0	38
7	1	38
7	2	38
7	3	38
7	4	38
7	5	38
7	6	38
7	7	38
7	8	38
7	9	38
7	10	38
7	11	39
7	12	40
7	13	41
7	14	42
7	15	43
7	16	45
7	17	47
7	18	46
7	19	44
7	20	44
7	21	41
7	22	39
7	23	38
