day	hour	value
1	0	12
1	1	12
1	2	12
1	3	12
1	4	12
1	5	13
1	6	18
1	7	25
1	8	27
1	9	24
1	10	17
1	11	15
1	12	15
1	13	14
1	14	15
1	15	14
1	16	14
1	17	15
1	18	16
1	19	14
1	20	13
1	21	13
1	22	13
1	23	13
2	0	12
2	1	12
2	2	12
2	3	12
2	4	12
2	5	14
2	6	18
2	7	30
2	8	30
2	9	28
2	10	20
2	11	17
2	12	17
2	13	14
2	14	15
2	15	15
2	16	14
2	17	16
2	18	18
2	19	15
2	20	13
2	21	13
2	22	13
2	23	13
3	0	12
3	1	12
3	2	12
3	3	12
3	4	12
3	5	14
3	6	19
3	7	22
3	8	22
3	9	29
3	10	18
3	11	16
3	12	17
3	13	15
3	14	15
3	15	15
3	16	15
3	17	16
3	18	17
3	19	15
3	20	13
3	21	13
3	22	13
3	23	13
4	0	12
4	1	12
4	2	12
4	3	12
4	4	12
4	5	14
4	6	20
4	7	28
4	8	25
4	9	26
4	10	20
4	11	16
4	12	17
4	13	15
4	14	16
4	15	16
4	16	15
4	17	17
4	18	17
4	19	14
4	20	13
4	21	13
4	22	13
4	23	13
5	0	12
5	1	12
5	2	12
5	3	12
5	4	12
5	5	14
5	6	18
5	7	23
5	8	23
5	9	22
5	10	19
5	11	17
5	12	17
5	13	15
5	14	17
5	15	17
5	16	15
5	17	16
5	18	15
5	19	14
5	20	13
5	21	13
5	22	13
5	23	13
6	0	12
6	1	12
6	2	12
6	3	12
6	4	12
6	5	13
6	6	13
6	7	13
6	8	13
6	9	14
6	10	15
6	11	15
6	12	16
6	13	17
6	14	17
6	15	17
6	16	17
6	17	15
6	18	14
6	19	14
6	20	13
6	21	13
6	22	13
6	23	13
7	0	12
7	1	12
7	2	12
7	3	12
7	4	12
7	5	13
7	6	13
7	7	13
7	8	13
7	9	13
7	10	13
7	11	15
7	12	16
7	13	17
7	14	17
7	15	18
7	16	16
7	17	14
7	18	13
7	19	13
7	20	13
7	21	13
7	22	13
7	23	13
