day	hour	value
1	0	12
1	1	12
1	2	12
1	3	12
1	4	12
1	5	13
1	6	13
1	7	18
1	8	22
1	9	18
1	10	14
1	11	14
1	12	15
1	13	17
1	14	21
1	15	26
1	16	28
1	17	27
1	18	24
1	19	19
1	20	15
1	21	14
1	22	13
1	23	13
2	0	12
2	1	12
2	2	12
2	3	12
2	4	12
2	5	13
2	6	14
2	7	21
2	8	26
2	9	21
2	10	16
2	11	15
2	12	16
2	13	19
2	14	25
2	15	32
2	16	38
2	17	38
2	18	34
2	19	25
2	20	18
2	21	14
2	22	13
2	23	13
3	0	12
3	1	12
3	2	12
3	3	12
3	4	12
3	5	13
3	6	14
3	7	20
3	8	24
3	9	21
3	10	16
3	11	15
3	12	17
3	13	20
3	14	27
3	15	33
3	16	39
3	17	40
3	18	37
3	19	27
3	20	19
3	21	15
3	22	14
3	23	13
4	0	12
4	1	12
4	2	12
4	3	12
4	4	12
4	5	13
4	6	14
4	7	20
4	8	24
4	9	20
4	10	16
4	11	15
4	12	17
4	13	21
4	14	28
4	15	34
4	16	38
4	17	39
4	18	36
4	19	27
4	20	21
4	21	16
4	22	14
4	23	13
5	0	12
5	1	12
5	2	12
5	3	12
5	4	12
5	5	13
5	6	13
5	7	17
5	8	20
5	9	18
5	10	16
5	11	16
5	12	20
5	13	25
5	14	30
5	15	34
5	16	36
5	17	34
5	18	31
5	19	24
5	20	19
5	21	16
5	22	15
5	23	14
6	0	12
6	1	12
6	2	12
6	3	12
6	4	12
6	5	13
6	6	13
6	7	13
6	8	13
6	9	14
6	10	14
6	11	17
6	12	18
6	13	19
6	14	21
6	15	21
6	16	22
6	17	23
6	18	22
6	19	20
6	20	17
6	21	15
6	22	15
6	23	14
7	0	12
7	1	12
7	2	12
7	3	12
7	4	12
7	5	13
7	6	13
7	7	13
7	8	13
7	9	13
7	10	13
7	11	14
7	12	15
7	13	15
7	14	15
7	15	16
7	16	16
7	17	17
7	18	17
7	19	16
7	20	16
7	21	15
7	22	14
7	23	13
