weekday,hour,sensor,speed,cord_dist,timcost(s)
Mon,0,759163,70.0,0.359968830928,18.5126827335
Mon,0,763646,70.0,0.367101726474,18.8795173615
Mon,0,759257,70.0,0.298466506145,15.3497060303
Mon,0,737229,70.0,0.463044455644,23.8137148617
Mon,0,737237,70.0,0.331633743457,17.0554496635
Mon,0,737246,70.0,0.495230868236,25.4690160807
Mon,0,737257,70.0,0.473221710056,24.3371165172
Mon,0,765506,70.0,0.194941081901,10.0255413549
Mon,0,737278,70.0,0.581713573591,29.9166980704
Mon,0,764054,70.0,0.389840384067,20.0489340378
Mon,0,718410,70.0,0.0855063478113,4.39746931601
Mon,0,764125,70.0,0.0311858768722,1.60384509628
Mon,0,764130,70.0,0.443472105804,22.8071368699
Mon,0,718412,70.0,0.332085575828,17.0786867569
Mon,0,763336,70.0,0.323405727853,16.6322945753
Mon,0,717008,70.0,0.352426602843,18.1247967177
Mon,0,717009,70.0,0.673135133352,34.6183782867
Mon,0,768584,70.0,0.22120743293,11.376382265
Mon,0,717011,70.0,0.2858575914,14.7012475577
Mon,0,716036,70.0,0.492600941232,25.3337626919
Mon,0,717014,70.0,0.195175063099,10.0375746736
Mon,0,717016,70.0,0.18243484376,9.38236339337
Mon,0,717020,70.0,0.315358237241,16.2184236295
Mon,0,717022,70.0,0.235260885958,12.0991312778
Mon,0,718415,70.0,0.382244896793,19.6583089779
Mon,0,764249,70.0,0.202785825737,10.4289853236
Mon,0,763963,70.0,0.160249363192,8.24139582129
Mon,0,717028,70.0,0.23885863174,12.2841582037
Mon,0,716047,70.0,0.281660265516,14.4853850837
Mon,0,716050,70.0,0.507642174496,26.1073118312
Mon,0,717032,70.0,0.676415641228,34.7870901203
Mon,0,717035,70.0,0.20922687149,10.7602391052
Mon,0,763346,70.0,0.151614830175,7.79733412327
Mon,0,716057,70.0,0.327244195011,16.8297014577
Mon,0,717039,70.0,0.50785569921,26.1182931022
Mon,0,737184,70.0,0.148962179133,7.66091206972
Mon,0,717042,70.0,0.340110503862,17.4913973415
Mon,0,718335,70.0,0.22533323213,11.5885662238
Mon,0,717046,70.0,0.255663168922,13.1483915446
Mon,0,759385,70.0,0.0904857476117,4.65355273432
Mon,0,764026,70.0,0.447462339011,23.0123488634
Mon,0,759280,70.0,0.105476154458,5.42448794356
Mon,0,718419,70.0,0.617424156005,31.7532423088
Mon,1,759163,70.0,0.359968830928,18.5126827335
Mon,1,763646,70.0,0.367101726474,18.8795173615
Mon,1,759257,70.0,0.298466506145,15.3497060303
Mon,1,737229,70.0,0.463044455644,23.8137148617
Mon,1,737237,70.0,0.331633743457,17.0554496635
Mon,1,737246,70.0,0.495230868236,25.4690160807
Mon,1,737257,70.0,0.473221710056,24.3371165172
Mon,1,765506,70.0,0.194941081901,10.0255413549
Mon,1,737278,70.0,0.581713573591,29.9166980704
Mon,1,764054,70.0,0.389840384067,20.0489340378
Mon,1,718410,70.0,0.0855063478113,4.39746931601
Mon,1,764125,70.0,0.0311858768722,1.60384509628
Mon,1,764130,70.0,0.443472105804,22.8071368699
Mon,1,718412,70.0,0.332085575828,17.0786867569
Mon,1,763336,70.0,0.323405727853,16.6322945753
Mon,1,717008,70.0,0.352426602843,18.1247967177
Mon,1,717009,70.0,0.673135133352,34.6183782867
Mon,1,768584,70.0,0.22120743293,11.376382265
Mon,1,717011,70.0,0.2858575914,14.7012475577
Mon,1,716036,70.0,0.492600941232,25.3337626919
Mon,1,717014,70.0,0.195175063099,10.0375746736
Mon,1,717016,70.0,0.18243484376,9.38236339337
Mon,1,717020,70.0,0.315358237241,16.2184236295
Mon,1,717022,70.0,0.235260885958,12.0991312778
Mon,1,718415,70.0,0.382244896793,19.6583089779
Mon,1,764249,70.0,0.202785825737,10.4289853236
Mon,1,763963,70.0,0.160249363192,8.24139582129
Mon,1,717028,70.0,0.23885863174,12.2841582037
Mon,1,716047,70.0,0.281660265516,14.4853850837
Mon,1,716050,70.0,0.507642174496,26.1073118312
Mon,1,717032,70.0,0.676415641228,34.7870901203
Mon,1,717035,70.0,0.20922687149,10.7602391052
Mon,1,763346,70.0,0.151614830175,7.79733412327
Mon,1,716057,70.0,0.327244195011,16.8297014577
Mon,1,717039,70.0,0.50785569921,26.1182931022
Mon,1,737184,70.0,0.148962179133,7.66091206972
Mon,1,717042,70.0,0.340110503862,17.4913973415
Mon,1,718335,70.0,0.22533323213,11.5885662238
Mon,1,717046,70.0,0.255663168922,13.1483915446
Mon,1,759385,70.0,0.0904857476117,4.65355273432
Mon,1,764026,70.0,0.447462339011,23.0123488634
Mon,1,759280,70.0,0.105476154458,5.42448794356
Mon,1,718419,70.0,0.617424156005,31.7532423088
Mon,2,759163,70.0,0.359968830928,18.5126827335
Mon,2,763646,70.0,0.367101726474,18.8795173615
Mon,2,759257,70.0,0.298466506145,15.3497060303
Mon,2,737229,70.0,0.463044455644,23.8137148617
Mon,2,737237,70.0,0.331633743457,17.0554496635
Mon,2,737246,70.0,0.495230868236,25.4690160807
Mon,2,737257,70.0,0.473221710056,24.3371165172
Mon,2,765506,70.0,0.194941081901,10.0255413549
Mon,2,737278,70.0,0.581713573591,29.9166980704
Mon,2,764054,70.0,0.389840384067,20.0489340378
Mon,2,718410,70.0,0.0855063478113,4.39746931601
Mon,2,764125,70.0,0.0311858768722,1.60384509628
Mon,2,764130,70.0,0.443472105804,22.8071368699
Mon,2,718412,70.0,0.332085575828,17.0786867569
Mon,2,763336,70.0,0.323405727853,16.6322945753
Mon,2,717008,70.0,0.352426602843,18.1247967177
Mon,2,717009,70.0,0.673135133352,34.6183782867
Mon,2,768584,70.0,0.22120743293,11.376382265
Mon,2,717011,70.0,0.2858575914,14.7012475577
Mon,2,716036,70.0,0.492600941232,25.3337626919
Mon,2,717014,70.0,0.195175063099,10.0375746736
Mon,2,717016,70.0,0.18243484376,9.38236339337
Mon,2,717020,70.0,0.315358237241,16.2184236295
Mon,2,717022,70.0,0.235260885958,12.0991312778
Mon,2,718415,70.0,0.382244896793,19.6583089779
Mon,2,764249,70.0,0.202785825737,10.4289853236
Mon,2,763963,70.0,0.160249363192,8.24139582129
Mon,2,717028,70.0,0.23885863174,12.2841582037
Mon,2,716047,70.0,0.281660265516,14.4853850837
Mon,2,716050,70.0,0.507642174496,26.1073118312
Mon,2,717032,70.0,0.676415641228,34.7870901203
Mon,2,717035,70.0,0.20922687149,10.7602391052
Mon,2,763346,70.0,0.151614830175,7.79733412327
Mon,2,716057,70.0,0.327244195011,16.8297014577
Mon,2,717039,70.0,0.50785569921,26.1182931022
Mon,2,737184,70.0,0.148962179133,7.66091206972
Mon,2,717042,70.0,0.340110503862,17.4913973415
Mon,2,718335,70.0,0.22533323213,11.5885662238
Mon,2,717046,70.0,0.255663168922,13.1483915446
Mon,2,759385,70.0,0.0904857476117,4.65355273432
Mon,2,764026,70.0,0.447462339011,23.0123488634
Mon,2,759280,70.0,0.105476154458,5.42448794356
Mon,2,718419,70.0,0.617424156005,31.7532423088
Mon,3,759163,70.0,0.359968830928,18.5126827335
Mon,3,763646,70.0,0.367101726474,18.8795173615
Mon,3,759257,70.0,0.298466506145,15.3497060303
Mon,3,737229,70.0,0.463044455644,23.8137148617
Mon,3,737237,70.0,0.331633743457,17.0554496635
Mon,3,737246,70.0,0.495230868236,25.4690160807
Mon,3,737257,70.0,0.473221710056,24.3371165172
Mon,3,765506,70.0,0.194941081901,10.0255413549
