weekday,hour,sensor,speed,cord_dist,timcost(s)
Mon,0,769097,70.0,0.832277374339,42.8028363946
Mon,0,763727,70.0,0.139645510695,7.18176912148
Mon,0,759289,70.0,0.559657973601,28.7824100709
Mon,0,717045,70.0,0.206585251811,10.6243843789
Mon,0,768598,70.0,0.0568899838032,2.9257705956
Mon,0,717043,70.0,0.283295602159,14.569488111
Mon,0,716063,70.0,0.33384110502,17.1689711153
Mon,0,717041,70.0,0.323084466206,16.6157725477
Mon,0,717040,70.0,0.196012381761,10.0806367763
Mon,0,763743,70.0,0.1315516349,6.76551265199
Mon,0,717036,70.0,0.362427303781,18.6391184802
Mon,0,763330,70.0,0.674369496326,34.6818598111
Mon,0,717033,70.0,0.252025699416,12.9613216843
Mon,0,718103,70.0,0.256415442797,13.1870799153
Mon,0,717031,70.0,0.273212412862,14.05092409
Mon,0,717029,70.0,0.252295142898,12.9751787776
Mon,0,717026,70.0,0.144830724592,7.44843726473
Mon,0,773647,70.0,0.212550235517,10.9311549694
Mon,0,764244,70.0,0.378754760679,19.4788162635
Mon,0,718414,70.0,0.54997232596,28.2842910494
Mon,0,717019,70.0,0.501529913513,25.7929669807
Mon,0,717015,70.0,0.376637978738,19.3699531922
Mon,0,717012,70.0,0.502262402942,25.8306378656
Mon,0,718099,70.0,0.668200635419,34.3646041073
Mon,0,763341,70.0,0.361652856304,18.5992897528
Mon,0,716032,70.0,0.337407756487,17.352398905
Mon,0,763325,70.0,0.320433372172,16.4794305688
Mon,0,737292,70.0,0.54877111228,28.2225143458
Mon,0,718411,70.0,0.390200985617,20.0674792603
Mon,0,764059,70.0,0.877803633895,45.144186886
Mon,0,737269,70.0,0.103833126708,5.33998937354
Mon,0,763490,70.0,0.270184558102,13.8952058452
Mon,0,737258,70.0,0.829144693387,42.6417270885
Mon,0,737242,70.0,0.0812472294191,4.17842894156
Mon,0,764050,70.0,0.391160051663,20.1168026569
Mon,0,737232,70.0,0.297439128349,15.2968694579
Mon,0,759259,70.0,0.71317918722,36.6777867713
Mon,1,769097,70.0,0.832277374339,42.8028363946
Mon,1,763727,70.0,0.139645510695,7.18176912148
Mon,1,759289,70.0,0.559657973601,28.7824100709
Mon,1,717045,70.0,0.206585251811,10.6243843789
Mon,1,768598,70.0,0.0568899838032,2.9257705956
Mon,1,717043,70.0,0.283295602159,14.569488111
Mon,1,716063,70.0,0.33384110502,17.1689711153
Mon,1,717041,70.0,0.323084466206,16.6157725477
Mon,1,717040,70.0,0.196012381761,10.0806367763
Mon,1,763743,70.0,0.1315516349,6.76551265199
Mon,1,717036,70.0,0.362427303781,18.6391184802
Mon,1,763330,70.0,0.674369496326,34.6818598111
Mon,1,717033,70.0,0.252025699416,12.9613216843
Mon,1,718103,70.0,0.256415442797,13.1870799153
Mon,1,717031,70.0,0.273212412862,14.05092409
Mon,1,717029,70.0,0.252295142898,12.9751787776
Mon,1,717026,70.0,0.144830724592,7.44843726473
Mon,1,773647,70.0,0.212550235517,10.9311549694
Mon,1,764244,70.0,0.378754760679,19.4788162635
Mon,1,718414,70.0,0.54997232596,28.2842910494
Mon,1,717019,70.0,0.501529913513,25.7929669807
Mon,1,717015,70.0,0.376637978738,19.3699531922
Mon,1,717012,70.0,0.502262402942,25.8306378656
Mon,1,718099,70.0,0.668200635419,34.3646041073
Mon,1,763341,70.0,0.361652856304,18.5992897528
Mon,1,716032,70.0,0.337407756487,17.352398905
Mon,1,763325,70.0,0.320433372172,16.4794305688
Mon,1,737292,70.0,0.54877111228,28.2225143458
Mon,1,718411,70.0,0.390200985617,20.0674792603
Mon,1,764059,70.0,0.877803633895,45.144186886
Mon,1,737269,70.0,0.103833126708,5.33998937354
Mon,1,763490,70.0,0.270184558102,13.8952058452
Mon,1,737258,70.0,0.829144693387,42.6417270885
Mon,1,737242,70.0,0.0812472294191,4.17842894156
Mon,1,764050,70.0,0.391160051663,20.1168026569
Mon,1,737232,70.0,0.297439128349,15.2968694579
Mon,1,759259,70.0,0.71317918722,36.6777867713
Mon,2,769097,70.0,0.832277374339,42.8028363946
Mon,2,763727,70.0,0.139645510695,7.18176912148
Mon,2,759289,70.0,0.559657973601,28.7824100709
Mon,2,717045,70.0,0.206585251811,10.6243843789
Mon,2,768598,70.0,0.0568899838032,2.9257705956
Mon,2,717043,70.0,0.283295602159,14.569488111
Mon,2,716063,70.0,0.33384110502,17.1689711153
Mon,2,717041,70.0,0.323084466206,16.6157725477
Mon,2,717040,70.0,0.196012381761,10.0806367763
Mon,2,763743,70.0,0.1315516349,6.76551265199
Mon,2,717036,70.0,0.362427303781,18.6391184802
Mon,2,763330,70.0,0.674369496326,34.6818598111
Mon,2,717033,70.0,0.252025699416,12.9613216843
Mon,2,718103,70.0,0.256415442797,13.1870799153
Mon,2,717031,70.0,0.273212412862,14.05092409
Mon,2,717029,70.0,0.252295142898,12.9751787776
Mon,2,717026,70.0,0.144830724592,7.44843726473
Mon,2,773647,70.0,0.212550235517,10.9311549694
Mon,2,764244,70.0,0.378754760679,19.4788162635
Mon,2,718414,70.0,0.54997232596,28.2842910494
Mon,2,717019,70.0,0.501529913513,25.7929669807
Mon,2,717015,70.0,0.376637978738,19.3699531922
Mon,2,717012,70.0,0.502262402942,25.8306378656
Mon,2,718099,70.0,0.668200635419,34.3646041073
Mon,2,763341,70.0,0.361652856304,18.5992897528
Mon,2,716032,70.0,0.337407756487,17.352398905
Mon,2,763325,70.0,0.320433372172,16.4794305688
Mon,2,737292,70.0,0.54877111228,28.2225143458
Mon,2,718411,70.0,0.390200985617,20.0674792603
Mon,2,764059,70.0,0.877803633895,45.144186886
Mon,2,737269,70.0,0.103833126708,5.33998937354
Mon,2,763490,70.0,0.270184558102,13.8952058452
Mon,2,737258,70.0,0.829144693387,42.6417270885
Mon,2,737242,70.0,0.0812472294191,4.17842894156
Mon,2,764050,70.0,0.391160051663,20.1168026569
Mon,2,737232,70.0,0.297439128349,15.2968694579
Mon,2,759259,70.0,0.71317918722,36.6777867713
Mon,3,769097,70.0,0.832277374339,42.8028363946
Mon,3,763727,70.0,0.139645510695,7.18176912148
