day	hour	minute	value
1	0	0	35.4
1	0	10	35.5
1	0	20	35.8
1	0	30	35.6
1	0	40	35.5
1	0	50	35.5
1	1	0	35.6
1	1	10	35.6
1	1	20	35.8
1	1	30	35.8
1	1	40	35.6
1	1	50	35.6
1	2	0	35.6
1	2	10	35.6
1	2	20	35.8
1	2	30	35.9
1	2	40	36.1
1	2	50	36.2
1	3	0	36.2
1	3	10	36.3
1	3	20	36.5
1	3	30	36.5
1	3	40	36.4
1	3	50	36.3
1	4	0	36.3
1	4	10	36.4
1	4	20	36.4
1	4	30	36.2
1	4	40	36.2
1	4	50	36.2
1	5	0	36.4
1	5	10	36.6
1	5	20	36.5
1	5	30	37.2
1	5	40	37.6
1	5	50	38.7
1	6	0	39.6
1	6	10	40.8
1	6	20	44.0
1	6	30	49.3
1	6	40	53.9
1	6	50	57.2
1	7	0	61.7
1	7	10	63.9
1	7	20	63.7
1	7	30	65.8
1	7	40	68.1
1	7	50	71.4
1	8	0	67.5
1	8	10	67.7
1	8	20	66.6
1	8	30	68.7
1	8	40	66.9
1	8	50	66.7
1	9	0	67.7
1	9	10	69.0
1	9	20	62.5
1	9	30	60.3
1	9	40	57.7
1	9	50	55.9
1	10	0	51.4
1	10	10	46.9
1	10	20	45.2
1	10	30	45.1
1	10	40	43.9
1	10	50	43.7
1	11	0	42.4
1	11	10	40.4
1	11	20	40.1
1	11	30	39.9
1	11	40	40.4
1	11	50	40.3
1	12	0	40.1
1	12	10	39.8
1	12	20	39.7
1	12	30	39.8
1	12	40	40.1
1	12	50	40.6
1	13	0	39.7
1	13	10	39.0
1	13	20	39.1
1	13	30	39.6
1	13	40	40.0
1	13	50	42.0
1	14	0	39.6
1	14	10	39.4
1	14	20	39.8
1	14	30	39.6
1	14	40	39.8
1	14	50	39.3
1	15	0	38.7
1	15	10	38.6
1	15	20	39.1
1	15	30	39.4
1	15	40	39.9
1	15	50	38.9
1	16	0	38.2
1	16	10	38.0
1	16	20	37.7
1	16	30	37.9
1	16	40	38.1
1	16	50	38.5
1	17	0	39.1
1	17	10	39.6
1	17	20	40.0
1	17	30	40.6
1	17	40	41.3
1	17	50	41.8
1	18	0	41.8
1	18	10	42.2
1	18	20	42.6
1	18	30	43.2
1	18	40	43.5
1	18	50	43.3
1	19	0	42.2
1	19	10	40.8
1	19	20	39.3
1	19	30	38.0
1	19	40	36.8
1	19	50	36.3
1	20	0	35.9
1	20	10	36.1
1	20	20	36.0
1	20	30	36.0
1	20	40	36.0
1	20	50	35.8
1	21	0	35.7
1	21	10	35.8
1	21	20	36.1
1	21	30	36.0
1	21	40	35.8
1	21	50	35.8
1	22	0	35.8
1	22	10	35.7
1	22	20	35.7
1	22	30	35.9
1	22	40	35.7
1	22	50	35.5
1	23	0	35.5
1	23	10	35.5
1	23	20	35.5
1	23	30	35.6
1	23	40	35.5
1	23	50	35.4
2	0	0	35.4
2	0	10	35.5
2	0	20	35.4
2	0	30	35.5
2	0	40	35.6
2	0	50	35.5
2	1	0	35.6
2	1	10	35.7
2	1	20	35.7
2	1	30	35.7
2	1	40	35.7
2	1	50	35.9
2	2	0	35.6
2	2	10	35.6
2	2	20	35.8
2	2	30	35.9
2	2	40	36.2
2	2	50	36.2
2	3	0	36.2
2	3	10	36.4
2	3	20	36.4
2	3	30	36.4
2	3	40	36.2
2	3	50	36.3
2	4	0	36.2
2	4	10	36.4
2	4	20	36.5
2	4	30	36.4
2	4	40	36.4
2	4	50	36.3
2	5	0	36.2
2	5	10	36.3
2	5	20	36.6
2	5	30	37.1
2	5	40	38.0
2	5	50	39.4
2	6	0	40.0
2	6	10	42.7
2	6	20	46.3
2	6	30	51.9
2	6	40	55.8
2	6	50	60.0
2	7	0	66.9
2	7	10	69.6
2	7	20	75.1
2	7	30	77.6
2	7	40	75.5
2	7	50	78.2
2	8	0	76.3
2	8	10	76.1
2	8	20	79.2
2	8	30	77.0
2	8	40	76.4
2	8	50	78.3
2	9	0	75.4
2	9	10	76.4
2	9	20	74.7
2	9	30	69.9
2	9	40	68.3
2	9	50	67.6
2	10	0	65.7
2	10	10	56.5
2	10	20	53.5
2	10	30	53.5
2	10	40	52.6
2	10	50	48.8
2	11	0	44.8
2	11	10	44.2
2	11	20	43.9
2	11	30	43.7
2	11	40	44.0
2	11	50	43.7
2	12	0	43.3
2	12	10	43.5
2	12	20	43.1
2	12	30	43.6
2	12	40	43.9
2	12	50	43.0
2	13	0	42.3
2	13	10	42.2
2	13	20	42.1
2	13	30	42.4
2	13	40	41.2
2	13	50	41.6
2	14	0	41.2
2	14	10	41.5
2	14	20	41.6
2	14	30	41.9
2	14	40	42.4
2	14	50	43.6
2	15	0	41.6
2	15	10	40.1
2	15	20	39.4
2	15	30	39.9
2	15	40	39.7
2	15	50	39.1
2	16	0	38.0
2	16	10	38.0
2	16	20	38.1
2	16	30	38.4
2	16	40	38.8
2	16	50	39.1
2	17	0	39.6
2	17	10	40.2
2	17	20	40.8
2	17	30	41.5
2	17	40	42.7
2	17	50	43.3
2	18	0	44.0
2	18	10	44.6
2	18	20	44.7
2	18	30	45.0
2	18	40	46.4
