day	hour	minute	value
1	0	0	37.6
1	0	10	37.5
1	0	20	37.7
1	0	30	37.6
1	0	40	37.8
1	0	50	37.8
1	1	0	37.7
1	1	10	37.7
1	1	20	37.8
1	1	30	37.7
1	1	40	37.8
1	1	50	38.0
1	2	0	38.1
1	2	10	38.0
1	2	20	38.2
1	2	30	38.0
1	2	40	38.1
1	2	50	38.3
1	3	0	38.2
1	3	10	38.3
1	3	20	38.4
1	3	30	38.4
1	3	40	38.6
1	3	50	38.5
1	4	0	38.8
1	4	10	39.0
1	4	20	39.1
1	4	30	39.2
1	4	40	38.8
1	4	50	39.1
1	5	0	39.0
1	5	10	38.7
1	5	20	38.5
1	5	30	38.4
1	5	40	38.4
1	5	50	38.5
1	6	0	38.4
1	6	10	38.4
1	6	20	38.4
1	6	30	38.4
1	6	40	38.5
1	6	50	39.3
1	7	0	40.3
1	7	10	42.7
1	7	20	45.9
1	7	30	48.9
1	7	40	51.0
1	7	50	54.7
1	8	0	57.0
1	8	10	57.8
1	8	20	61.2
1	8	30	63.3
1	8	40	61.4
1	8	50	57.9
1	9	0	53.8
1	9	10	50.9
1	9	20	48.2
1	9	30	46.6
1	9	40	46.1
1	9	50	45.4
1	10	0	43.9
1	10	10	42.5
1	10	20	41.5
1	10	30	41.0
1	10	40	40.9
1	10	50	40.2
1	11	0	39.9
1	11	10	40.0
1	11	20	40.1
1	11	30	40.2
1	11	40	41.1
1	11	50	41.0
1	12	0	40.7
1	12	10	41.0
1	12	20	42.0
1	12	30	42.0
1	12	40	42.2
1	12	50	42.7
1	13	0	42.8
1	13	10	44.4
1	13	20	46.0
1	13	30	46.6
1	13	40	46.6
1	13	50	47.1
1	14	0	48.6
1	14	10	50.7
1	14	20	56.6
1	14	30	60.9
1	14	40	63.1
1	14	50	62.9
1	15	0	61.8
1	15	10	64.0
1	15	20	68.6
1	15	30	74.5
1	15	40	74.9
1	15	50	77.0
1	16	0	78.0
1	16	10	78.4
1	16	20	81.4
1	16	30	78.3
1	16	40	76.7
1	16	50	75.6
1	17	0	75.8
1	17	10	74.2
1	17	20	75.2
1	17	30	76.0
1	17	40	75.4
1	17	50	75.4
1	18	0	74.0
1	18	10	72.2
1	18	20	71.3
1	18	30	70.4
1	18	40	68.7
1	18	50	65.4
1	19	0	60.0
1	19	10	57.9
1	19	20	55.8
1	19	30	53.5
1	19	40	50.3
1	19	50	47.6
1	20	0	44.1
1	20	10	42.5
1	20	20	42.0
1	20	30	40.3
1	20	40	39.7
1	20	50	39.6
1	21	0	39.3
1	21	10	39.3
1	21	20	39.5
1	21	30	39.1
1	21	40	38.9
1	21	50	38.5
1	22	0	38.4
1	22	10	38.6
1	22	20	38.7
1	22	30	38.8
1	22	40	38.3
1	22	50	38.1
1	23	0	37.9
1	23	10	38.0
1	23	20	37.9
1	23	30	37.9
1	23	40	37.9
1	23	50	37.7
2	0	0	37.8
2	0	10	37.8
2	0	20	37.8
2	0	30	37.9
2	0	40	37.8
2	0	50	37.9
2	1	0	37.9
2	1	10	38.0
2	1	20	37.9
2	1	30	37.9
2	1	40	38.0
2	1	50	38.3
2	2	0	38.2
2	2	10	38.3
2	2	20	38.3
2	2	30	38.4
2	2	40	38.4
2	2	50	38.5
2	3	0	38.3
2	3	10	38.4
2	3	20	38.3
2	3	30	38.5
2	3	40	38.5
2	3	50	38.7
2	4	0	38.8
2	4	10	38.9
2	4	20	39.5
2	4	30	39.4
2	4	40	39.0
2	4	50	38.8
2	5	0	38.9
2	5	10	38.6
2	5	20	38.6
2	5	30	38.6
2	5	40	38.6
2	5	50	38.4
2	6	0	38.5
2	6	10	38.2
2	6	20	38.4
2	6	30	38.3
2	6	40	38.7
2	6	50	39.8
2	7	0	41.6
2	7	10	45.4
2	7	20	50.6
2	7	30	55.6
2	7	40	59.3
2	7	50	64.1
2	8	0	67.0
2	8	10	68.6
2	8	20	70.7
2	8	30	73.8
2	8	40	72.6
2	8	50	67.7
2	9	0	62.5
2	9	10	59.4
2	9	20	57.2
2	9	30	53.2
2	9	40	50.8
2	9	50	48.1
2	10	0	46.9
2	10	10	45.1
2	10	20	42.8
2	10	30	42.2
2	10	40	42.0
2	10	50	41.1
2	11	0	41.0
2	11	10	41.2
2	11	20	41.7
2	11	30	41.7
2	11	40	41.8
2	11	50	41.5
2	12	0	41.7
2	12	10	42.0
2	12	20	42.4
2	12	30	43.1
2	12	40	43.8
2	12	50	44.4
2	13	0	45.3
2	13	10	45.9
2	13	20	47.8
2	13	30	50.3
2	13	40	53.1
2	13	50	56.4
2	14	0	58.0
2	14	10	59.2
2	14	20	64.0
2	14	30	70.1
2	14	40	74.6
2	14	50	73.9
2	15	0	73.9
2	15	10	76.6
2	15	20	79.9
2	15	30	84.6
2	15	40	87.9
2	15	50	93.6
2	16	0	94.6
2	16	10	96.6
2	16	20	101.2
2	16	30	98.3
2	16	40	99.9
2	16	50	97.6
2	17	0	94.9
2	17	10	95.1
2	17	20	96.0
2	17	30	97.8
2	17	40	99.1
2	17	50	97.0
2	18	0	93.2
2	18	10	91.2
2	18	20	91.3
2	18	30	92.3
2	18	40	90.0
2	18	50	86.3
2	19	0	78.6
2	19	10	75.2
2	19	20	72.2
2	19	30	67.7
2	19	40	63.5
2	19	50	59.7
2	20	0	56.4
2	20	10	54.4
2	20	20	52.3
2	20	30	47.4
2	20	40	44.4
2	20	50	42.2
2	21	0	40.5
2	21	10	40.1
2	21	20	40.5
2	21	30	40.3
2	21	40	39.8
2	21	50	38.9
2	22	0	38.5
2	22	10	38.5
2	22	20	38.6
2	22	30	38.3
2	22	40	38.3
2	22	50	37.9
2	23	0	37.9
2	23	10	38.0
2	23	20	38.0
2	23	30	37.9
2	23	40	37.8
2	23	50	37.8
3	0	0	37.6
3	0	10	37.7
3	0	20	37.8
3	0	30	37.8
3	0	40	37.8
3	0	50	37.7
3	1	0	37.9
3	1	10	37.9
3	1	20	38.0
3	1	30	38.0
3	1	40	38.3
3	1	50	38.3
3	2	0	38.3
3	2	10	38.3
3	2	20	38.3
3	2	30	38.3
3	2	40	38.5
3	2	50	38.8
3	3	0	38.4
3	3	10	38.8
3	3	20	38.7
3	3	30	38.5
3	3	40	38.7
3	3	50	38.7
3	4	0	38.9
3	4	10	39.0
3	4	20	39.3
3	4	30	39.4
3	4	40	39.0
3	4	50	39.1
3	5	0	39.0
3	5	10	39.0
3	5	20	38.7
3	5	30	38.6
3	5	40	38.4
3	5	50	38.4
3	6	0	38.5
3	6	10	38.5
3	6	20	38.4
3	6	30	38.4
3	6	40	39.0
3	6	50	40.0
3	7	0	41.5
3	7	10	44.2
3	7	20	48.8
3	7	30	54.9
3	7	40	60.1
3	7	50	61.6
3	8	0	61.6
3	8	10	67.9
3	8	20	68.0
3	8	30	68.9
3	8	40	67.5
3	8	50	64.8
3	9	0	60.0
3	9	10	56.0
3	9	20	55.2
3	9	30	54.0
3	9	40	52.8
3	9	50	51.3
3	10	0	47.1
3	10	10	43.6
