day	hour	value
1	0	70
1	1	70
1	2	70
1	3	70
1	4	70
1	5	62.5
1	6	48.1
1	7	41.7
1	8	40.2
1	9	42.4
1	10	51.3
1	11	56.8
1	12	57.8
1	13	60.1
1	14	57.6
1	15	59.5
1	16	60.3
1	17	54.5
1	18	51.8
1	19	59.6
1	20	65.6
1	21	65.8
1	22	66.1
1	23	66.4
2	0	70
2	1	70
2	2	70
2	3	70
2	4	70
2	5	62.1
2	6	49.4
2	7	37
2	8	37.7
2	9	38.2
2	10	47.8
2	11	52.4
2	12	53.3
2	13	59.9
2	14	58.8
2	15	57.7
2	16	59.1
2	17	52.8
2	18	48.3
2	19	56.8
2	20	65.4
2	21	65.7
2	22	65.9
2	23	66.4
3	0	70
3	1	70
3	2	70
3	3	70
3	4	70
3	5	62.1
3	6	45.6
3	7	47.3
3	8	47.7
3	9	37.9
3	10	52.4
3	11	55.5
3	12	52.7
3	13	58.6
3	14	56
3	15	56.3
3	16	56.6
3	17	50.7
3	18	48.1
3	19	55.6
3	20	66
3	21	65.6
3	22	65.8
3	23	66.1
4	0	70
4	1	70
4	2	70
4	3	70
4	4	70
4	5	61.8
4	6	44.8
4	7	38
4	8	44.1
4	9	40
4	10	46.2
4	11	56
4	12	52.4
4	13	58.8
4	14	53.7
4	15	55.5
4	16	55.7
4	17	49.6
4	18	48.2
4	19	58.5
4	20	64.6
4	21	65.3
4	22	65.4
4	23	65.9
5	0	70
5	1	70
5	2	70
5	3	70
5	4	70
5	5	62.2
5	6	48
5	7	43.3
5	8	45.7
5	9	43.8
5	10	47.6
5	11	51.8
5	12	52.6
5	13	56.9
5	14	51.5
5	15	53
5	16	57.1
5	17	53.4
5	18	54.9
5	19	60.4
5	20	63.9
5	21	65.2
5	22	65.6
5	23	66.2
6	0	70
6	1	70
6	2	70
6	3	70
6	4	70
6	5	64.7
6	6	65.1
6	7	64.1
6	8	63.6
6	9	61.8
6	10	59.5
6	11	57.1
6	12	55.3
6	13	51.3
6	14	51.7
6	15	50.6
6	16	51.2
6	17	55.8
6	18	59.9
6	19	62.1
6	20	64.2
6	21	64.8
6	22	64.2
6	23	65.5
7	0	70
7	1	70
7	2	70
7	3	70
7	4	70
7	5	66
7	6	66.6
7	7	66.8
7	8	66.7
7	9	66.2
7	10	63.5
7	11	58
7	12	56.3
7	13	53.5
7	14	51.5
7	15	50.4
7	16	53
7	17	58.2
7	18	63.8
7	19	65.3
7	20	65.1
7	21	65.4
7	22	66.5
7	23	66.4
