day	hour	value
1	0	70
1	1	70
1	2	70
1	3	70
1	4	70
1	5	63.81542783
1	6	62.7224296
1	7	49.90934876
1	8	41.59193005
1	9	49.76327557
1	10	59.03678379
1	11	59.99516628
1	12	56.67082761
1	13	50.92655213
1	14	41.98566359
1	15	35.16746949
1	16	32.35055217
1	17	34.31839547
1	18	37.26373449
1	19	45.56373872
1	20	57.35260813
1	21	62.43334509
1	22	63.60279731
1	23	64.92958574
2	0	70
2	1	70
2	2	70
2	3	70
2	4	70
2	5	63.70977164
2	6	62.36040509
2	7	45.38847242
2	8	36.04215111
2	9	44.23285801
2	10	55.20861868
2	11	57.46928613
2	12	54.01049959
2	13	46.47242356
2	14	36.49361752
2	15	29.26906439
2	16	25.81620203
2	17	26.53652488
2	18	28.41068965
2	19	36.5642138
2	20	48.74157436
2	21	59.56257411
2	22	63.46336389
2	23	64.94447241
3	0	70
3	1	70
3	2	70
3	3	70
3	4	70
3	5	63.79946175
3	6	62.13217717
3	7	46.22444092
3	8	38.52513758
3	9	44.6227919
3	10	54.79608257
3	11	56.10628761
3	12	51.64235355
3	13	43.78634483
3	14	33.70064544
3	15	28.432879
3	16	25.28541178
3	17	25.01815187
3	18	26.65808597
3	19	34.32751506
3	20	45.81639004
3	21	57.92986428
3	22	62.15866931
3	23	64.45536529
4	0	70
4	1	70
4	2	70
4	3	70
4	4	70
4	5	63.51037245
4	6	62.10260376
4	7	47.30814799
4	8	38.58350302
4	9	45.02965487
4	10	54.16882592
4	11	55.98273206
4	12	50.198048
4	13	42.34073869
4	14	32.63110616
4	15	27.16234971
4	16	25.59966417
4	17	25.7103066
4	18	26.83213014
4	19	34.39804504
4	20	42.44663972
4	21	53.2835277
4	22	59.37954793
4	23	63.48834966
5	0	70
5	1	70
5	2	70
5	3	70
5	4	70
5	5	63.40719432
5	6	63.09329947
5	7	53.9011409
5	8	47.11932221
5	9	50.40599751
5	10	54.54478896
5	11	52.02969511
5	12	44.33110117
5	13	36.72195547
5	14	31.51228069
5	15	27.88799469
5	16	27.03156891
5	17	28.62009576
5	18	30.73904276
5	19	38.15597377
5	20	45.93199888
5	21	54.03831557
5	22	57.7847447
5	23	62.36206919
6	0	70
6	1	70
6	2	70
6	3	70
6	4	70
6	5	63.67337199
6	6	64.23762524
6	7	64.34778549
6	8	63.90943554
6	9	62.50234952
6	10	59.10921745
6	11	52.85686778
6	12	48.45417497
6	13	46.4077801
6	14	44.48629832
6	15	41.86743882
6	16	40.42940854
6	17	38.32125118
6	18	39.65542325
6	19	44.74826572
6	20	51.34454946
6	21	55.64070814
6	22	55.7166163
6	23	60.84156201
7	0	70
7	1	70
7	2	70
7	3	70
7	4	70
7	5	64.05452398
7	6	64.97873563
7	7	65.25066179
7	8	65.03403306
7	9	64.59943114
7	10	63.40629797
7	11	61.59325229
7	12	58.09507493
7	13	56.6817245
7	14	56.88967512
7	15	55.02990951
7	16	53.59996585
7	17	50.62761693
7	18	51.2775621
7	19	54.69230394
7	20	55.53398642
7	21	58.529716
7	22	62.41566838
7	23	64.93524039
